City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,2021-03-28 00:58:47,-33.65,115.3333,66.99,71,0,1.01,light rain
1,El Tocuyo,VE,2021-03-28 00:59:32,9.7873,-69.7937,71.98,78,100,2.8,overcast clouds
2,Rikitea,PF,2021-03-28 00:59:32,-23.1203,-134.9692,79.48,72,0,17.65,clear sky
3,Sitka,US,2021-03-28 00:59:32,57.0531,-135.33,37.4,75,75,16.11,snow
4,Dalmeny,CA,2021-03-28 00:59:33,52.3334,-106.7679,41.0,33,75,9.22,broken clouds
5,Ginda,IN,2021-03-28 00:59:33,30.6945,78.4932,62.6,77,4,3.44,mist
6,Ballina,AU,2021-03-28 00:59:33,-28.8667,153.5667,78.8,57,0,8.05,clear sky
7,Codrington,AU,2021-03-28 00:59:33,-38.2667,141.9667,65.34,57,9,10.13,clear sky
8,Saint-Philippe,RE,2021-03-28 00:59:34,-21.3585,55.7679,75.2,83,20,5.75,few clouds
9,Port Elizabeth,ZA,2021-03-28 00:59:34,-33.918,25.5701,60.8,82,0,13.8,light rain
10,Pevek,RU,2021-03-28 00:59:34,69.7008,170.3133,-4.49,88,22,6.44,few clouds
11,Porbandar,IN,2021-03-28 00:59:34,21.6422,69.6093,77.22,65,59,10.0,broken clouds
12,Port Alfred,ZA,2021-03-28 00:59:35,-33.5906,26.891,61.52,78,56,8.05,light rain
13,Qaanaaq,GL,2021-03-28 00:59:35,77.484,-69.3632,-12.82,87,100,5.88,overcast clouds
14,Hasaki,JP,2021-03-28 00:59:35,35.7333,140.8333,66.2,59,75,20.71,broken clouds
15,Aykhal,RU,2021-03-28 00:59:35,66.0,111.5,11.28,97,100,5.06,overcast clouds
16,Svetlogorsk,BY,2021-03-28 00:59:35,52.6333,29.7333,39.63,81,97,5.77,overcast clouds
17,Jucurutu,BR,2021-03-28 00:59:36,-6.0339,-37.0203,74.73,91,95,5.41,light rain
18,Punta Arenas,CL,2021-03-28 00:58:39,-53.15,-70.9167,48.2,71,0,46.04,moderate rain
19,Chokurdakh,RU,2021-03-28 00:59:36,70.6333,147.9167,3.15,85,100,6.93,overcast clouds
20,Flinders,AU,2021-03-28 00:59:36,-34.5833,150.8552,73.99,64,0,4.0,clear sky
21,Victoria,HK,2021-03-28 00:59:03,22.2855,114.1577,75.0,88,8,4.25,clear sky
22,Phan Thiet,VN,2021-03-28 00:59:36,10.9333,108.1,81.43,65,30,8.05,scattered clouds
23,Bredasdorp,ZA,2021-03-28 00:59:37,-34.5322,20.0403,50.0,87,78,5.75,broken clouds
24,Hermanus,ZA,2021-03-28 00:59:37,-34.4187,19.2345,55.99,84,34,3.0,scattered clouds
25,Portland,US,2021-03-28 00:56:18,45.5234,-122.6762,64.0,42,75,3.44,broken clouds
26,Albany,US,2021-03-28 00:55:47,42.6001,-73.9662,50.0,61,11,0.81,few clouds
27,Upernavik,GL,2021-03-28 00:58:50,72.7868,-56.1549,-29.51,94,82,5.1,broken clouds
28,San Jeronimo,PE,2021-03-28 00:59:37,-11.9472,-75.2829,49.08,84,35,5.75,scattered clouds
29,Saskylakh,RU,2021-03-28 00:59:37,71.9167,114.0833,-5.58,98,99,0.76,overcast clouds
30,Lorengau,PG,2021-03-28 00:59:38,-2.0226,147.2712,83.86,73,91,9.37,overcast clouds
31,Bambous Virieux,MU,2021-03-28 00:59:38,-20.3428,57.7575,77.0,94,75,5.75,broken clouds
32,Cayenne,GF,2021-03-28 00:59:38,4.9333,-52.3333,80.01,94,75,11.81,broken clouds
33,Yellowknife,CA,2021-03-28 00:55:48,62.456,-114.3525,24.8,46,75,11.5,broken clouds
34,Ushuaia,AR,2021-03-28 00:55:29,-54.8,-68.3,55.4,47,40,18.41,light rain
35,Vaini,TO,2021-03-28 00:59:11,-21.2,-175.2,86.0,74,75,8.05,light rain
36,Tiksi,RU,2021-03-28 00:59:39,71.6872,128.8694,7.65,94,99,2.77,overcast clouds
37,Cidreira,BR,2021-03-28 00:59:14,-30.1811,-50.2056,72.54,87,100,6.87,overcast clouds
38,Half Moon Bay,US,2021-03-28 00:59:34,37.4636,-122.4286,75.2,77,1,9.22,haze
39,Hilo,US,2021-03-28 00:58:42,19.7297,-155.09,78.8,61,90,13.8,light rain
40,Cherskiy,RU,2021-03-28 00:59:39,68.75,161.3,2.95,78,25,5.12,scattered clouds
41,Avarua,CK,2021-03-28 00:59:39,-21.2078,-159.775,84.2,79,90,18.41,overcast clouds
42,Isla Mujeres,MX,2021-03-28 00:59:39,21.2311,-86.731,80.6,74,40,13.8,scattered clouds
43,Nha Trang,VN,2021-03-28 00:59:40,12.25,109.1833,80.6,69,20,4.61,few clouds
44,Mataura,NZ,2021-03-28 00:59:40,-46.1927,168.8643,62.01,83,100,4.0,overcast clouds
45,Cape Town,ZA,2021-03-28 00:57:04,-33.9258,18.4232,62.01,71,0,2.3,clear sky
46,Nikolskoye,RU,2021-03-28 00:59:40,59.7035,30.7861,39.99,70,0,8.95,clear sky
47,Mar Del Plata,AR,2021-03-28 00:56:32,-38.0023,-57.5575,61.0,100,90,21.85,drizzle
48,Faya,SA,2021-03-28 00:59:40,18.3851,42.4509,59.0,58,0,2.66,clear sky
49,Kulykivka,UA,2021-03-28 00:59:41,51.3735,31.6466,40.1,71,66,2.68,broken clouds
50,Hithadhoo,MV,2021-03-28 00:58:54,-0.6,73.0833,83.44,73,100,13.69,light rain
51,Tasiilaq,GL,2021-03-28 00:59:41,65.6145,-37.6368,19.4,45,90,8.05,overcast clouds
52,Baruun-Urt,MN,2021-03-28 00:59:41,46.6806,113.2792,28.96,48,100,25.3,overcast clouds
53,Hobart,AU,2021-03-28 00:58:01,-42.8794,147.3294,62.01,63,40,19.57,scattered clouds
54,Cabo San Lucas,MX,2021-03-28 00:59:41,22.8909,-109.9124,73.99,56,20,11.5,few clouds
55,Norman Wells,CA,2021-03-28 00:59:42,65.282,-126.8329,12.2,73,90,16.11,light snow
56,Vao,NC,2021-03-28 00:59:42,-22.6667,167.4833,78.1,79,13,12.28,few clouds
57,Bluff,NZ,2021-03-28 00:59:42,-46.6,168.3333,62.01,83,100,4.0,overcast clouds
58,Esperance,AU,2021-03-28 00:59:43,-33.8667,121.9,64.4,88,0,8.05,clear sky
59,Dikson,RU,2021-03-28 00:58:39,73.5069,80.5464,-20.67,100,100,8.97,overcast clouds
60,Arraial Do Cabo,BR,2021-03-28 00:59:43,-22.9661,-42.0278,78.8,83,0,10.22,clear sky
61,Port-Cartier,CA,2021-03-28 00:59:43,50.0334,-66.8654,24.01,68,20,3.02,few clouds
62,Tezu,IN,2021-03-28 00:59:44,27.9167,96.1667,76.95,20,0,1.41,clear sky
63,Corbelia,BR,2021-03-28 00:59:44,-24.7989,-53.3067,77.0,61,100,3.02,overcast clouds
64,Taltal,CL,2021-03-28 00:59:44,-25.4,-70.4833,64.72,77,30,2.73,scattered clouds
65,Kapaa,US,2021-03-28 00:59:45,22.0752,-159.319,78.8,69,40,12.66,scattered clouds
66,Saint-Pierre,RE,2021-03-28 00:59:45,-21.3393,55.4781,75.2,83,20,5.75,few clouds
67,Carutapera,BR,2021-03-28 00:59:45,-1.195,-46.02,74.52,95,100,6.22,overcast clouds
68,Atuona,PF,2021-03-28 00:59:45,-9.8,-139.0333,81.19,75,100,19.37,overcast clouds
69,Castricum,NL,2021-03-28 00:59:46,52.5483,4.6694,46.0,84,100,11.99,overcast clouds
70,Hokitika,NZ,2021-03-28 00:59:46,-42.7167,170.9667,60.96,97,100,4.09,light rain
71,Fallon,US,2021-03-28 00:59:46,39.4735,-118.7774,64.4,16,20,4.61,few clouds
72,Kirovskiy,RU,2021-03-28 00:59:46,45.0917,133.5136,37.69,92,100,5.21,overcast clouds
73,Huarmey,PE,2021-03-28 00:59:47,-10.0681,-78.1522,70.66,81,54,6.38,broken clouds
74,Pitsunda,GE,2021-03-28 00:59:47,43.1592,40.3378,42.01,93,90,6.71,overcast clouds
75,Haines Junction,CA,2021-03-28 00:59:47,60.7522,-137.5108,26.6,63,100,16.11,overcast clouds
76,Sorland,NO,2021-03-28 00:59:47,67.667,12.6934,37.53,65,94,22.01,overcast clouds
77,Asbe Teferi,ET,2021-03-28 00:59:48,9.0833,40.8667,60.06,33,100,0.22,overcast clouds
78,Saint-Augustin,CA,2021-03-28 00:59:48,51.226,-58.6502,7.03,85,4,8.55,clear sky
79,Sembe,CG,2021-03-28 00:59:48,1.6481,14.5806,72.52,79,98,0.54,overcast clouds
80,Thompson,CA,2021-03-28 00:59:48,55.7435,-97.8558,21.2,53,40,8.05,scattered clouds
81,Ribeira Grande,PT,2021-03-28 00:59:49,38.5167,-28.7,60.42,81,100,9.26,overcast clouds
82,Balestrand,NO,2021-03-28 00:59:49,61.2076,6.5334,34.0,95,100,1.99,overcast clouds
83,Mahebourg,MU,2021-03-28 00:59:49,-20.4081,57.7,73.4,94,75,5.75,broken clouds
84,Carnarvon,AU,2021-03-28 00:59:27,-24.8667,113.6333,78.8,73,0,4.83,clear sky
85,Lebu,CL,2021-03-28 00:59:49,-37.6167,-73.65,56.14,86,0,18.86,clear sky
86,Jamestown,US,2021-03-28 00:55:26,42.097,-79.2353,57.2,47,1,5.97,clear sky
87,Ancud,CL,2021-03-28 00:59:50,-41.8697,-73.8203,52.0,82,0,5.75,clear sky
88,Karratha,AU,2021-03-28 00:59:50,-20.7377,116.8463,86.54,53,65,5.32,broken clouds
89,Ensley,US,2021-03-28 00:59:50,30.5188,-87.2728,73.4,94,90,5.75,overcast clouds
90,Vila Velha,BR,2021-03-28 00:59:50,-20.3297,-40.2925,78.8,78,0,3.44,clear sky
91,Luderitz,NA,2021-03-28 00:59:51,-26.6481,15.1594,63.28,69,0,11.81,clear sky
92,Simbahan,PH,2021-03-28 00:59:51,6.3032,120.5836,82.56,77,96,9.78,overcast clouds
93,Gambela,ET,2021-03-28 00:59:51,8.25,34.5833,77.86,49,89,3.78,overcast clouds
94,Kodiak,US,2021-03-28 00:59:51,57.79,-152.4072,35.6,41,20,33.38,few clouds
95,Antalaha,MG,2021-03-28 00:59:52,-14.9003,50.2788,74.25,89,100,4.23,overcast clouds
96,Sayyan,YE,2021-03-28 00:59:52,15.1718,44.3244,51.1,30,43,1.52,scattered clouds
97,Yatou,CN,2021-03-28 00:59:52,37.15,122.3833,51.82,74,8,6.33,clear sky
98,Kalmunai,LK,2021-03-28 00:59:52,7.4167,81.8167,78.51,76,95,2.15,overcast clouds
99,Ponta Delgada,PT,2021-03-28 00:59:52,37.7333,-25.6667,53.6,82,40,3.44,scattered clouds
100,Hervey Bay,AU,2021-03-28 00:59:53,-25.2986,152.8535,80.6,54,4,2.3,clear sky
101,Fecamp,FR,2021-03-28 00:59:53,49.7579,0.3746,48.2,76,0,11.5,clear sky
102,Corralillo,CU,2021-03-28 00:59:53,22.9819,-80.5856,76.77,78,0,18.32,light rain
103,Hofn,IS,2021-03-28 00:59:54,64.2539,-15.2082,30.87,93,100,15.3,snow
104,Beled,HU,2021-03-28 00:59:54,47.4659,17.0929,48.2,53,0,6.91,clear sky
105,Pathein,MM,2021-03-28 00:59:54,16.7833,94.7333,81.41,65,81,6.62,broken clouds
106,Waitati,NZ,2021-03-28 00:59:54,-45.75,170.5667,66.99,83,28,10.0,scattered clouds
107,San Patricio,US,2021-03-28 00:59:54,28.017,-97.5169,78.8,73,90,21.85,overcast clouds
108,Morondava,MG,2021-03-28 00:59:55,-20.2833,44.2833,73.47,85,5,6.24,clear sky
109,Hirado,JP,2021-03-28 00:59:55,33.3597,129.5531,62.6,94,75,5.75,broken clouds
110,Talusan,PH,2021-03-28 00:59:55,7.4267,122.8103,81.73,73,100,2.64,overcast clouds
111,Cabra,ES,2021-03-28 00:59:55,37.4725,-4.4421,57.0,63,17,2.39,few clouds
112,Arlit,NE,2021-03-28 00:59:56,18.7369,7.3853,67.32,17,0,8.01,clear sky
113,Behbahan,IR,2021-03-28 00:59:56,30.5959,50.2417,53.6,47,4,13.4,clear sky
114,Kavaratti,IN,2021-03-28 00:59:56,10.5669,72.642,83.41,75,100,3.36,overcast clouds
115,Tuktoyaktuk,CA,2021-03-28 00:59:56,69.4541,-133.0374,-11.2,77,40,8.05,scattered clouds
116,Ganzhou,CN,2021-03-28 00:59:57,28.8184,115.4327,66.87,81,33,1.95,scattered clouds
117,Port Keats,AU,2021-03-28 00:59:57,-14.25,129.55,88.16,54,100,10.47,overcast clouds
118,Port Hardy,CA,2021-03-28 00:59:57,50.6996,-127.4199,48.2,81,90,11.5,moderate rain
119,Tual,ID,2021-03-28 00:59:57,-5.6667,132.75,80.11,84,100,12.44,overcast clouds
120,Alofi,NU,2021-03-28 00:59:58,-19.0595,-169.9187,82.4,89,14,14.97,light rain
121,Hessisch Lichtenau,DE,2021-03-28 00:59:58,51.2,9.7167,33.01,88,100,3.0,overcast clouds
122,Fortuna,US,2021-03-28 00:59:58,40.5982,-124.1573,60.01,82,1,13.8,clear sky
123,Mokhsogollokh,RU,2021-03-28 00:56:39,61.4681,128.9203,24.01,86,54,6.67,broken clouds
124,Jishu,CN,2021-03-28 00:59:58,44.3167,126.8,51.44,57,19,9.75,few clouds
125,New Norfolk,AU,2021-03-28 00:59:58,-42.7826,147.0587,62.01,64,98,4.0,overcast clouds
126,Eydhafushi,MV,2021-03-28 00:59:59,5.1033,73.0708,78.89,86,100,17.0,overcast clouds
127,Muzaffarabad,PK,2021-03-28 00:59:59,34.37,73.4711,62.2,67,97,6.96,overcast clouds
128,Jian,CN,2021-03-28 00:59:59,27.1172,114.9793,69.64,79,66,4.27,broken clouds
129,Andenes,NO,2021-03-28 00:59:59,69.3143,16.1194,37.0,93,75,12.66,broken clouds
130,Corinto,GR,2021-03-28 00:57:17,37.9407,22.9573,48.99,76,0,4.61,clear sky
131,Kosa,RU,2021-03-28 01:00:00,59.9445,54.9977,14.97,97,52,4.29,broken clouds
132,Ahipara,NZ,2021-03-28 00:58:34,-35.1667,173.1667,67.66,85,100,11.72,overcast clouds
133,Del Rio,US,2021-03-28 01:00:00,29.3627,-100.8968,91.4,9,1,4.61,clear sky
134,Dunedin,NZ,2021-03-28 00:59:41,-45.8742,170.5036,68.0,70,24,7.05,few clouds
135,Katsuura,JP,2021-03-28 01:00:00,35.1333,140.3,66.0,68,100,7.0,moderate rain
136,Fort Nelson,CA,2021-03-28 01:00:01,58.8053,-122.7002,41.0,48,90,9.22,overcast clouds
137,Kungurtug,RU,2021-03-28 01:00:01,50.5994,97.5228,16.27,68,83,2.28,broken clouds
138,Hamilton,US,2021-03-28 01:00:01,39.1834,-84.5333,66.2,59,20,12.66,few clouds
139,Pangnirtung,CA,2021-03-28 01:00:02,66.1451,-65.7125,-7.22,79,100,3.98,overcast clouds
140,Tigil,RU,2021-03-28 01:00:04,57.8,158.6667,8.19,88,100,10.6,overcast clouds
141,Les Cayes,HT,2021-03-28 01:00:04,18.2,-73.75,76.24,75,9,3.6,clear sky
142,Puerto Leguizamo,CO,2021-03-28 01:00:05,-0.1934,-74.7819,73.53,96,100,1.36,overcast clouds
143,Chuy,UY,2021-03-28 01:00:05,-33.6971,-53.4616,67.82,91,100,5.48,overcast clouds
144,Butaritari,KI,2021-03-28 01:00:06,3.0707,172.7902,81.36,79,91,12.64,light rain
145,Ponta Do Sol,PT,2021-03-28 01:00:06,32.6667,-17.1,64.4,88,75,17.27,broken clouds
146,Iqaluit,CA,2021-03-28 01:00:07,63.7506,-68.5145,-11.0,77,75,2.3,broken clouds
147,Souillac,MU,2021-03-28 01:00:07,-20.5167,57.5167,73.4,94,75,5.75,broken clouds
148,Vanimo,PG,2021-03-28 01:00:08,-2.6741,141.3028,81.93,78,100,5.7,light rain
149,Iringa,TZ,2021-03-28 01:00:08,-7.7667,35.7,64.4,94,75,1.19,broken clouds
150,Kununurra,AU,2021-03-28 01:00:08,-15.7667,128.7333,87.8,62,40,5.75,scattered clouds
151,Vilhena,BR,2021-03-28 01:00:09,-12.7406,-60.1458,73.02,76,94,2.39,overcast clouds
152,Airai,TL,2021-03-28 00:59:55,-8.9266,125.4092,69.82,71,100,2.93,overcast clouds
153,Cikupa,ID,2021-03-28 01:00:09,-6.2364,106.5083,80.6,83,20,4.61,few clouds
154,Yabrud,SY,2021-03-28 01:00:09,33.9674,36.6574,33.8,80,0,4.85,clear sky
155,Assomada,CV,2021-03-28 01:00:10,15.1,-23.6833,68.0,73,20,26.46,few clouds
156,Sosua,DO,2021-03-28 01:00:10,19.7667,-70.5167,77.0,83,20,11.5,few clouds
157,Kaeo,NZ,2021-03-28 01:00:11,-35.1,173.7833,69.01,84,100,10.0,overcast clouds
158,Boa Esperanca,BR,2021-03-28 01:00:11,-21.09,-45.5658,69.13,84,74,1.16,broken clouds
159,Tuatapere,NZ,2021-03-28 01:00:11,-46.1333,167.6833,62.01,83,100,4.0,overcast clouds
160,Xining,CN,2021-03-28 01:00:11,36.6167,101.7667,43.09,27,99,2.17,overcast clouds
161,Seoul,KR,2021-03-28 01:00:01,37.5683,126.9778,48.2,93,90,8.05,mist
162,Atambua,ID,2021-03-28 01:00:12,-9.1061,124.8925,79.97,74,100,2.08,overcast clouds
163,Lavrentiya,RU,2021-03-28 01:00:12,65.5833,-171.0,-1.88,84,94,1.68,overcast clouds
164,Nome,US,2021-03-28 01:00:12,64.5011,-165.4064,8.6,66,1,2.01,clear sky
165,Chapais,CA,2021-03-28 00:59:04,49.7834,-74.8492,30.2,64,75,3.44,broken clouds
166,Sao Felix Do Xingu,BR,2021-03-28 01:00:12,-6.6447,-51.995,71.92,96,100,0.92,overcast clouds
167,Vychegodskiy,RU,2021-03-28 01:00:13,61.247,46.8984,19.76,97,84,3.33,broken clouds
168,Castro,BR,2021-03-28 01:00:13,-24.7911,-50.0119,64.6,90,100,2.15,moderate rain
169,Ocotal,NI,2021-03-28 01:00:13,13.6321,-86.4752,71.42,65,1,3.91,clear sky
170,Kuchinarai,TH,2021-03-28 01:00:13,16.541,104.05,91.99,83,100,3.44,mist
171,Berbera,SO,2021-03-28 01:00:14,10.4396,45.0143,76.44,73,0,3.44,clear sky
172,Kangra,IN,2021-03-28 01:00:14,32.1,76.2667,66.07,38,95,6.89,overcast clouds
173,San Rafael,AR,2021-03-28 01:00:14,-34.6177,-68.3301,60.51,31,17,4.63,few clouds
174,Poum,NC,2021-03-28 01:00:14,-20.2333,164.0167,80.85,73,18,4.34,few clouds
175,Milkovo,RU,2021-03-28 01:00:15,54.7167,158.6167,25.0,73,100,1.9,overcast clouds
176,Antofagasta,CL,2021-03-28 01:00:02,-23.65,-70.4,60.8,82,20,9.22,few clouds
177,Chambery,FR,2021-03-28 01:00:15,45.5667,5.9333,39.0,93,0,2.3,clear sky
178,Daru,PG,2021-03-28 01:00:15,-9.0763,143.2092,85.84,70,100,7.09,overcast clouds
179,Alpena,US,2021-03-28 01:00:15,45.0617,-83.4327,34.0,80,90,9.22,overcast clouds
180,Talnakh,RU,2021-03-28 01:00:16,69.4865,88.3972,-1.01,99,88,0.89,overcast clouds
181,Deniliquin,AU,2021-03-28 01:00:16,-35.5333,144.9667,68.0,49,100,7.07,overcast clouds
182,Puerto Ayora,EC,2021-03-28 01:00:16,-0.7393,-90.3518,79.0,89,99,4.0,overcast clouds
183,Ereymentau,KZ,2021-03-28 01:00:16,51.6199,73.1033,31.17,96,100,10.13,overcast clouds
184,Ketchikan,US,2021-03-28 01:00:17,55.3422,-131.6461,44.6,93,90,6.91,light rain
185,Velez-Malaga,ES,2021-03-28 01:00:17,36.7726,-4.1005,61.0,65,8,4.09,clear sky
186,Rocha,UY,2021-03-28 01:00:17,-34.4833,-54.3333,65.64,89,100,3.83,overcast clouds
187,Northam,GB,2021-03-28 01:00:17,51.0333,-4.2167,51.01,82,100,21.0,overcast clouds
188,Ures,MX,2021-03-28 01:00:17,29.4333,-110.4,80.01,16,0,8.01,clear sky
189,College,US,2021-03-28 01:00:18,64.8569,-147.8028,26.6,54,90,11.5,overcast clouds
190,Kabo,CF,2021-03-28 01:00:18,7.6994,18.629,78.03,60,54,2.95,broken clouds
191,Quime,BO,2021-03-28 01:00:18,-16.9833,-67.2167,50.09,95,100,4.94,overcast clouds
192,Bad Lauterberg,DE,2021-03-28 01:00:18,51.6327,10.4703,33.01,97,100,3.74,overcast clouds
193,Dali,CN,2021-03-28 01:00:19,25.7,100.1833,58.12,29,1,2.95,clear sky
194,Palafrugell,ES,2021-03-28 00:59:06,41.9174,3.1631,46.99,93,0,4.32,clear sky
195,Mehriz,IR,2021-03-28 01:00:19,31.5917,54.4318,68.0,19,41,2.3,dust
196,Fredericksburg,US,2021-03-28 00:59:36,38.3032,-77.4605,62.6,63,1,5.75,clear sky
197,Viseu,PT,2021-03-28 01:00:19,40.661,-7.9097,48.99,88,7,5.64,clear sky
198,Georgetown,MY,2021-03-28 01:00:19,5.4112,100.3354,82.4,94,20,2.3,few clouds
199,Ayr,GB,2021-03-28 01:00:20,55.4627,-4.6339,50.0,81,90,26.46,overcast clouds
200,Barrow,US,2021-03-28 01:00:20,71.2906,-156.7887,-11.2,70,1,5.75,clear sky
201,Puerto Escondido,MX,2021-03-28 01:00:20,15.85,-97.0667,84.2,79,1,3.44,clear sky
202,Tayu,ID,2021-03-28 01:00:20,-6.5397,111.0518,81.52,81,34,3.11,scattered clouds
203,Broken Hill,AU,2021-03-28 01:00:21,-31.95,141.4333,64.4,52,6,12.66,clear sky
204,Rawson,AR,2021-03-28 01:00:21,-43.3002,-65.1023,67.66,29,98,19.75,overcast clouds
205,Nemuro,JP,2021-03-28 00:56:48,43.3236,145.575,42.8,65,75,16.11,broken clouds
206,San Pedro,PH,2021-03-28 01:00:21,14.35,121.0167,87.01,62,20,3.44,few clouds
207,Saint-Joseph,RE,2021-03-28 01:00:21,-21.3667,55.6167,75.2,83,20,5.75,few clouds
208,Valle De Allende,MX,2021-03-28 01:00:22,26.9333,-105.4,71.82,6,63,19.08,broken clouds
209,East London,ZA,2021-03-28 01:00:22,-33.0153,27.9116,64.42,70,38,11.63,scattered clouds
210,Provideniya,RU,2021-03-28 01:00:22,64.3833,-173.3,4.21,90,100,5.5,overcast clouds
211,Kruisfontein,ZA,2021-03-28 01:00:22,-34.0033,24.7314,57.99,80,20,5.82,few clouds
212,Gushikawa,JP,2021-03-28 01:00:23,26.3544,127.8686,77.0,83,75,17.27,broken clouds
213,Navrongo,GH,2021-03-28 01:00:23,10.8956,-1.0921,86.05,41,19,5.32,few clouds
214,Vestmannaeyjar,IS,2021-03-28 01:00:23,63.4427,-20.2734,37.87,60,100,23.42,overcast clouds
215,Durban,ZA,2021-03-28 00:59:14,-29.8579,31.0292,69.01,68,20,12.66,few clouds
216,Presidente Medici,BR,2021-03-28 01:00:23,-11.1753,-61.9014,72.79,94,65,3.44,broken clouds
217,Owando,CG,2021-03-28 01:00:24,-0.4819,15.8999,71.82,88,64,1.36,broken clouds
218,Port Lincoln,AU,2021-03-28 00:56:44,-34.7333,135.8667,65.8,58,0,3.2,clear sky
219,Bundaberg,AU,2021-03-28 01:00:24,-24.85,152.35,80.6,54,41,2.3,scattered clouds
220,Havelock,US,2021-03-28 00:56:57,34.8791,-76.9013,66.99,94,75,2.95,broken clouds
221,Tocopilla,CL,2021-03-28 01:00:24,-22.092,-70.1979,67.68,74,12,4.25,few clouds
222,Sinjar,IQ,2021-03-28 01:00:24,36.3209,41.8754,41.34,51,0,5.5,clear sky
223,Maldonado,UY,2021-03-28 00:55:26,-34.6667,-54.9167,69.01,100,90,2.3,overcast clouds
224,Oktyabrskoye,RU,2021-03-28 01:00:25,43.0645,44.7417,41.0,70,100,4.47,overcast clouds
225,Freeport,US,2021-03-28 01:00:25,40.6576,-73.5832,55.0,62,1,6.91,clear sky
226,Guarapari,BR,2021-03-28 01:00:25,-20.6667,-40.4975,78.8,78,0,3.44,clear sky
227,Dover,US,2021-03-28 00:58:49,39.1582,-75.5244,62.01,59,90,6.91,overcast clouds
228,Ostrovnoy,RU,2021-03-28 01:00:25,68.0531,39.5131,30.79,89,87,23.04,overcast clouds
